"id_in_session","session_code","body"
7,"jdf4sgo1","hello"
5,"jdf4sgo1","hello"
6,"jdf4sgo1","heart"
9,"jdf4sgo1","my fig 1 looks like a lion face"
2,"jdf4sgo1","my fig 1 resembles an angel"
8,"jdf4sgo1","my figure 1 looks kind of like a horse's head"
6,"jdf4sgo1","yes"
3,"jdf4sgo1","So my fig 1 is symmetrical, long, and points down"
6,"jdf4sgo1","sure"
7,"jdf4sgo1","like a shield?"
8,"jdf4sgo1","I think my figure 2 looks like an angel"
6,"jdf4sgo1","fig 1 for me looks liek a dress/coat"
3,"jdf4sgo1","Sort of looks like a dragon's face or shield, yeah"
4,"jdf4sgo1","i think thats my figure 2"
6,"jdf4sgo1","points off to the left"
6,"jdf4sgo1","yes"
7,"jdf4sgo1","yea mine to"
9,"jdf4sgo1","what is yours?"
6,"jdf4sgo1","yes"
4,"jdf4sgo1","kind of like an hourglass?"
3,"jdf4sgo1","Your fig 1?"
5,"jdf4sgo1","my fig 1 looks like dragon head"
4,"jdf4sgo1","yeah sure"
9,"jdf4sgo1","time is running down"
7,"jdf4sgo1","yes"
2,"jdf4sgo1","my figure 2 looks like 2 swans "
6,"jdf4sgo1","fig 3 has twp triangles, with a 'm', looks like a spider"
3,"jdf4sgo1","Want to call it shield?"
9,"jdf4sgo1","okay..."
6,"jdf4sgo1","for me"
2,"jdf4sgo1","or a sort of bug"
9,"jdf4sgo1","what do we call it"
7,"jdf4sgo1","sounds good"
8,"jdf4sgo1","That would be my figure 4"
2,"jdf4sgo1","perfect"
4,"jdf4sgo1","thats my figure 4"
5,"jdf4sgo1","shield"
2,"jdf4sgo1","my figure 3 kind of looks like a flag"
9,"jdf4sgo1","okay Fig 1 is shield"
4,"jdf4sgo1","yeah sure"
3,"jdf4sgo1","Okay my figure 2 isn't symetrical and has a right side much larger than the left#"
2,"jdf4sgo1","pointing left"
5,"jdf4sgo1","it has a shield shape in it"
9,"jdf4sgo1","my fig 2 looks like an angel"
8,"jdf4sgo1","Same with my figure 3"
6,"jdf4sgo1","you got my fig 3?"
4,"jdf4sgo1","yeah thats my figure 5"
2,"jdf4sgo1","my figure 4 looks like an apron"
2,"jdf4sgo1","with an upside down trinagle on the top"
7,"jdf4sgo1","kinda like a horse looking head and top body"
3,"jdf4sgo1","Yeah"
9,"jdf4sgo1","lets call Fig 2 Angel"
5,"jdf4sgo1","my fig 2 has pointy edges and looks like a ram head"
4,"jdf4sgo1","yeah thats good"
7,"jdf4sgo1","ok, yea thats my 2 as well"
6,"jdf4sgo1","Kinda? it has two triangles that connect at the tip, with legs coming off of it"
3,"jdf4sgo1","Okay, hore head for name?"
3,"jdf4sgo1","*horse"
2,"jdf4sgo1","do you see anything like that?"
7,"jdf4sgo1","yea"
8,"jdf4sgo1","OK that would be my figure 2. I think I got the one you said with the angel confused. I think that's my figure 5"
6,"jdf4sgo1","apron was fig 1 for me "
6,"jdf4sgo1","fig 3 is diff"
9,"jdf4sgo1","Then lets call Fig 2 ram head"
8,"jdf4sgo1","But my figure 2 has the triangle"
3,"jdf4sgo1","My fig 3 looks like a scythe"
7,"jdf4sgo1","same"
9,"jdf4sgo1","my fig 3 looks like an hourglass"
5,"jdf4sgo1","yes"
4,"jdf4sgo1","kind of like a scythe? thats my figure 1"
3,"jdf4sgo1","Call it scythe?"
7,"jdf4sgo1","ok"
9,"jdf4sgo1","lets call it an hoursglass"
6,"jdf4sgo1","shielf for me is lige fig 5 for me. It's symeetrical"
9,"jdf4sgo1","*Hourglass"
6,"jdf4sgo1","shield"
3,"jdf4sgo1","Fig 4 looks kinda like bug antenne"
3,"jdf4sgo1","Theres like a hollow part that looks a little like a heart"
6,"jdf4sgo1","fig 1"
7,"jdf4sgo1","does it have two triangles"
4,"jdf4sgo1","yeah sure"
5,"jdf4sgo1","okay"
2,"jdf4sgo1","just to double check my figure 5 looks like a dragons head is that your number 1"
3,"jdf4sgo1","No"
8,"jdf4sgo1","Ya"
6,"jdf4sgo1","it points off to the left"
3,"jdf4sgo1","It's curvy"
2,"jdf4sgo1","and my angel is figure 1 and that would be your 5"
6,"jdf4sgo1","fig 4 looks like a sycthe/sickle"
9,"jdf4sgo1","my Figure 4 looks like a flag and my figure 5 looks like two swans kissing"
7,"jdf4sgo1","are the two top pieces almost touching"
3,"jdf4sgo1","Yes"
6,"jdf4sgo1","fig 5 is a symmetrical badge/shield looking image"
7,"jdf4sgo1","ok, thats my five"
9,"jdf4sgo1","what do we call them?"
2,"jdf4sgo1","perfect"
4,"jdf4sgo1","yeah i see it, it's my figure 3"
6,"jdf4sgo1","fig 3 for me is the spider looking image with two legs coming off"
3,"jdf4sgo1","My five has 2 triangles"
8,"jdf4sgo1","Ya"
4,"jdf4sgo1","yeah"
6,"jdf4sgo1","hello"
7,"jdf4sgo1","hello"
3,"jdf4sgo1","Hi"
4,"jdf4sgo1","hi"
5,"jdf4sgo1","hi"
6,"jdf4sgo1","fig 1 for me is an apron/angel looking image"
6,"jdf4sgo1","points off to the left"
7,"jdf4sgo1","figure 1 has two triangles"
4,"jdf4sgo1","like an hourglass? thats my fig 1"
3,"jdf4sgo1","You can start"
7,"jdf4sgo1","yes"
6,"jdf4sgo1","fig 2 is two triangles, with legs coming off, looks like a spider"
7,"jdf4sgo1","hourglass for figure 1"
3,"jdf4sgo1","Two triangles with like an ""M"" in it?"
6,"jdf4sgo1","any issues?"
3,"jdf4sgo1","That's my fig 5"
3,"jdf4sgo1","We can call it apron?"
7,"jdf4sgo1","my figure two has four sharp points on the top"
5,"jdf4sgo1","my fig 2 looks like two triangles inter woven"
4,"jdf4sgo1","kind of like a spiky racket?"
7,"jdf4sgo1","yes"
6,"jdf4sgo1","same"
4,"jdf4sgo1","thats my fig 2"
3,"jdf4sgo1","Fig 2, I'm fine with calling it antennae"
5,"jdf4sgo1","okay"
6,"jdf4sgo1","fig 3 is a syemmtrical badge/shield looking image"
5,"jdf4sgo1","okay thats my fig 4"
7,"jdf4sgo1","same"
3,"jdf4sgo1","That's fig 4"
6,"jdf4sgo1","fig 4 for me is a scythe/sickle image "
3,"jdf4sgo1","We can call it shield if that's okay"
4,"jdf4sgo1","my fig 3 looks kind of like the top of a scythe"
7,"jdf4sgo1","ok thats my 4"
6,"jdf4sgo1","fig 5 for me is a heart shaped tiara looking thing"
5,"jdf4sgo1","okay thats my fig3"
3,"jdf4sgo1","That's fig 1"
4,"jdf4sgo1","my fig 4 looks kind of like the side of an angel"
7,"jdf4sgo1","thats my 3"
3,"jdf4sgo1","I think flag works as a name"
4,"jdf4sgo1","my fig 5 is kind of like antennae"
6,"jdf4sgo1","any questions?"
3,"jdf4sgo1","Does it look kinda like a horse's head?"
3,"jdf4sgo1","Okay yeah I can see that, fig 3"
3,"jdf4sgo1","Works for me"
4,"jdf4sgo1","it has two symmetrical shapes that face towards each other"
7,"jdf4sgo1","yes"
3,"jdf4sgo1","Good work team"
5,"jdf4sgo1","all good"
3,"jdf4sgo1","You too"
6,"jdf4sgo1","were my descriptions okay? "
5,"jdf4sgo1","yes"
7,"jdf4sgo1","nice"
6,"jdf4sgo1","hello"
4,"jdf4sgo1","hi"
9,"jdf4sgo1","Hy"
6,"jdf4sgo1","tell your images"
8,"jdf4sgo1","Hey"
5,"jdf4sgo1","hello"
9,"jdf4sgo1","My Figure 1 looks like an angel"
4,"jdf4sgo1","my fig 1 looks kind of like the side of an angel"
4,"jdf4sgo1","bigger on the right"
8,"jdf4sgo1","So my figure 1 looks like an hourglass with lines coming out of it."
9,"jdf4sgo1","what figure is that"
5,"jdf4sgo1","my fig i looks like an angel "
6,"jdf4sgo1","got it"
4,"jdf4sgo1","fig 2 kind of like antennae"
5,"jdf4sgo1","okay thats my fig2"
6,"jdf4sgo1","with triagnles, look like a spider? "
8,"jdf4sgo1","That would be my fig 4"
9,"jdf4sgo1","Lets call the Figure Angel"
4,"jdf4sgo1","nah its symmetrical"
6,"jdf4sgo1","so your ifg 2 is a symmetricla shape? "
5,"jdf4sgo1","so we can call it hour glass"
4,"jdf4sgo1","thats my figure 5 i think, that one looks kind of like a hourglass"
8,"jdf4sgo1","Ya"
6,"jdf4sgo1","look like a badge/shield? "
9,"jdf4sgo1","that is my figure 5"
8,"jdf4sgo1","My fig 2 looks like an airplane"
9,"jdf4sgo1","looks like two swans kissing"
4,"jdf4sgo1","no the shield looking one is my fig 3"
9,"jdf4sgo1","what do we call it"
5,"jdf4sgo1","that is my fig 4"
6,"jdf4sgo1","what fig is the scythe/sickle? "
9,"jdf4sgo1","okay My figure 5 is Antennae"
8,"jdf4sgo1","Cool. My fig 3 looks like a dragon's head"
9,"jdf4sgo1","my figure 2 looks like a flag"
4,"jdf4sgo1","fig 2 has two symmetrical bits coming out and facing each other"
4,"jdf4sgo1","thats figure 4"
5,"jdf4sgo1","thats my fig 3 also "
5,"jdf4sgo1","we can call it dragon head"
4,"jdf4sgo1","i mean the scythe one is figure 4"
8,"jdf4sgo1","ya"
9,"jdf4sgo1","that is my figure 3, lets call it a shield then?"
8,"jdf4sgo1","And then 5 is the 2 swans"
9,"jdf4sgo1","okay what about the figure that looks like a flag"
9,"jdf4sgo1","what do we call it"
6,"jdf4sgo1","what fig is hourglass?"
4,"jdf4sgo1","figure 5"
5,"jdf4sgo1","yes thats the same fig 5"
9,"jdf4sgo1","okay Fig 2 is flag"
8,"jdf4sgo1","Alright I think we got them."
6,"jdf4sgo1","what fig is heart shaped tiara?"
5,"jdf4sgo1","we can call it swans"
9,"jdf4sgo1","my fig 4 looks like an hourglass"
8,"jdf4sgo1","Yup"
4,"jdf4sgo1","2"
9,"jdf4sgo1","what do we call it"
6,"jdf4sgo1","whats your fig 3?"
5,"jdf4sgo1","what is your fig 4"
4,"jdf4sgo1","its like a spikey racket"
4,"jdf4sgo1","or a shield"
9,"jdf4sgo1","okay.. Apron it is"
8,"jdf4sgo1","The angel"
5,"jdf4sgo1","okay"
6,"jdf4sgo1","i think i got it"
9,"jdf4sgo1","lols. Apron is fine. :-)"
8,"jdf4sgo1","Hey"
8,"jdf4sgo1","So my figure 1 looks like an angel"
8,"jdf4sgo1","Yes"
8,"jdf4sgo1","My figure 2 looks like a dragon's head"
8,"jdf4sgo1","Ya"
8,"jdf4sgo1","I have been calling it dragon's head but I'm OK with shield"
8,"jdf4sgo1","Figure 3 looks like an hourglass with lines coming out of it"
8,"jdf4sgo1","OK it would be an apron"
8,"jdf4sgo1","figure 3"
8,"jdf4sgo1","Ya"
8,"jdf4sgo1","My figure 4 looks like a double swan head"
8,"jdf4sgo1","Ya"
8,"jdf4sgo1","Antennae works"
8,"jdf4sgo1","Same"
8,"jdf4sgo1","Yes"
8,"jdf4sgo1","Flag works"
8,"jdf4sgo1","yup"
8,"jdf4sgo1","Hey"
7,"jdf4sgo1","hello"
8,"jdf4sgo1","So my figure 1 looks like a flag"
8,"jdf4sgo1","pointing left"
7,"jdf4sgo1","ok, thats my figure 4"
8,"jdf4sgo1","My figure 2 looks like double swan heads"
7,"jdf4sgo1","same for me"
8,"jdf4sgo1","Cool"
8,"jdf4sgo1","My figure 3 looks like an angel"
7,"jdf4sgo1","same"
8,"jdf4sgo1","My figure 4 looks like an apron"
7,"jdf4sgo1","thats my figure 1"
8,"jdf4sgo1","Cool. Lastly is my figure 5 which looks like a dragon's head"
7,"jdf4sgo1","yea same, "
1,"48b9jmgp","Hello"
1,"48b9jmgp","Sure"
1,"48b9jmgp","Does it have two triangles in it"
1,"48b9jmgp","Yes that is my figure 1"
1,"48b9jmgp","do we call it hourglass"
1,"48b9jmgp","sure"
1,"48b9jmgp","either works"
1,"48b9jmgp","yes that is figure 2 for me"
1,"48b9jmgp","yes antenna is good"
1,"48b9jmgp","is it symmetrical?"
1,"48b9jmgp","yeah to me it looks like a dragon"
1,"48b9jmgp","that is figure 3 for me"
1,"48b9jmgp","yes"
1,"48b9jmgp","kind of like a boomerang too?"
1,"48b9jmgp","yes that's my figure 4 too"
1,"48b9jmgp","flag?"
1,"48b9jmgp","yeah I guess it looks like it could be wings"
1,"48b9jmgp","yes sure"
1,"48b9jmgp","5"
1,"48b9jmgp","thanks"
1,"48b9jmgp","you too"
1,"48b9jmgp","Hi"
1,"48b9jmgp","what figure do you see for number 1"
2,"48b9jmgp","hiya"
1,"48b9jmgp","that is my figure number 4"
1,"48b9jmgp"," yes flag is good"
2,"48b9jmgp","yes i can see that"
1,"48b9jmgp","that looks like my number 2 as well"
2,"48b9jmgp","figure 1"
1,"48b9jmgp","looks like it could be the face of an animal?"
1,"48b9jmgp","yes"
2,"48b9jmgp","yes okay great"
1,"48b9jmgp","that is my number 3"
1,"48b9jmgp","call it antennae?"
1,"48b9jmgp","yes"
2,"48b9jmgp","this is figure 3"
1,"48b9jmgp","oh sure"
1,"48b9jmgp","to me it looks like an apple with bites taken out or something"
1,"48b9jmgp","that is my number 1"
2,"48b9jmgp","yeah that is fine :)"
2,"48b9jmgp","aliens all good"
1,"48b9jmgp","yes"
2,"48b9jmgp","pointy?"
2,"48b9jmgp","yes figure 4"
1,"48b9jmgp","yeah sure that is my figure 5 too"
1,"48b9jmgp","looks like it could also be a tie with an hourglass"
1,"48b9jmgp","use apron sure"
1,"48b9jmgp","great! thanks"
2,"48b9jmgp","hmm"
2,"48b9jmgp","sword like?"
2,"48b9jmgp","yes got it figure 2"
2,"48b9jmgp","okay :)"
2,"48b9jmgp","elephants trunk?"
2,"48b9jmgp","yes figure 5"
2,"48b9jmgp","yes that works"
2,"48b9jmgp","heya"
3,"48b9jmgp","Hiya!"
1,"48b9jmgp","hi"
2,"48b9jmgp","okay yes"
9,"48b9jmgp","My first figure looks like a flag"
3,"48b9jmgp","Yeah sure, describe your figure 1"
2,"48b9jmgp","yes figure 1"
1,"48b9jmgp","a curved shape?"
1,"48b9jmgp","pointing to the left?"
2,"48b9jmgp","yes okay"
9,"48b9jmgp","Yes"
3,"48b9jmgp","Hmm, I I have one with two triangles that is like an hourglass too, that's figure 5 for me"
1,"48b9jmgp","call it flag?"
3,"48b9jmgp","Kind of like an M in the middle where it joins?"
2,"48b9jmgp","yes figure 4"
9,"48b9jmgp","yes"
1,"48b9jmgp","ok"
1,"48b9jmgp","what is your second shape?"
2,"48b9jmgp","hat with horns"
3,"48b9jmgp","Yep that's 5 for me, should we call it apron? "
2,"48b9jmgp","yes antennae is good"
3,"48b9jmgp","Yep that's cool"
9,"48b9jmgp","It looks like an hourglass kinda with extra lines"
3,"48b9jmgp","Um I think I see this one it might be 4 for me"
2,"48b9jmgp","cool"
3,"48b9jmgp","Yes alien antennae definitely stood out that's definitely my 4 haha"
1,"48b9jmgp","kind of like an hourglass crossed with the letter M?"
1,"48b9jmgp","that is my second shape tpp"
9,"48b9jmgp","Yes"
1,"48b9jmgp","shall we call it hourglass?"
9,"48b9jmgp","Yes"
2,"48b9jmgp","yes figure 3"
3,"48b9jmgp","Call that one alien? "
1,"48b9jmgp","what is your 3rd shape?"
9,"48b9jmgp","My third shape looks like a tie at the bottom with a rounded spiky bit on top"
2,"48b9jmgp","yes great!"
2,"48b9jmgp","figure 2"
3,"48b9jmgp","Hmm shield, I thought it looked a bit like an animal head sort of? If that's the same one it might be my figure 1"
1,"48b9jmgp","symmetrical shape?"
1,"48b9jmgp","kind of looks like the face of a dragon or something?"
2,"48b9jmgp","yes great"
3,"48b9jmgp","Yes definitely my figure 1 then that's bang on"
9,"48b9jmgp","Kinda yeah"
2,"48b9jmgp","yes figure 5"
1,"48b9jmgp","ok shall we call it tie then?"
2,"48b9jmgp","yes"
3,"48b9jmgp","Going with shield? "
9,"48b9jmgp","Yes"
3,"48b9jmgp","Cool"
1,"48b9jmgp","ok what is your 4th shape?"
2,"48b9jmgp","yay"
2,"48b9jmgp","yes"
3,"48b9jmgp","Sort of like a scythe shape?"
2,"48b9jmgp","great!!"
3,"48b9jmgp","Yeah that's my figure 3 then :)"
9,"48b9jmgp","My fourth shape is a bit hard for me to describe but it's two asymmetrical halves, one side looks like a tooth and the other is larger and rounder"
1,"48b9jmgp","yeah that's the weirdest one I know which one"
1,"48b9jmgp","it looks like an apple that has had parts removed to me"
9,"48b9jmgp","Yes i can see that"
3,"48b9jmgp","Yeah kind of like a fairy or something silhouette "
1,"48b9jmgp","that is my first shape"
3,"48b9jmgp","That's figure 2 for me"
1,"48b9jmgp","call it apple?"
9,"48b9jmgp","yes"
1,"48b9jmgp","what shall we call the last shape"
1,"48b9jmgp","antenna?"
3,"48b9jmgp","Angel sounds good to me"
9,"48b9jmgp","antenna sounds good"
1,"48b9jmgp","hi"
4,"48b9jmgp","hi"
2,"48b9jmgp","hey"
5,"48b9jmgp","hi"
3,"48b9jmgp","Hiya :)"
6,"48b9jmgp","hi!"
5,"48b9jmgp","my figure 1 is shaped like an axe"
7,"48b9jmgp","yes"
1,"48b9jmgp","my first shape looks like an apple with pieces taken out of it"
7,"48b9jmgp","ok"
5,"48b9jmgp","yes"
3,"48b9jmgp","What is your first figure like?"
4,"48b9jmgp","mine does as well "
5,"48b9jmgp","yes"
1,"48b9jmgp","it has a triangle shape cut from the bottom and circular shapes cut from the sides"
1,"48b9jmgp","shall we call it apple?"
7,"48b9jmgp","that is my fig 4"
5,"48b9jmgp","figure 2 is like a sand timer"
4,"48b9jmgp","yeah that is the same as mine "
4,"48b9jmgp","yes lets call it apple "
5,"48b9jmgp","yes flag"
1,"48b9jmgp","ok cool"
7,"48b9jmgp","yes"
9,"48b9jmgp","my figure one looks like a half eaten apple"
5,"48b9jmgp","yes"
9,"48b9jmgp","what does yours look like?"
4,"48b9jmgp","what does you figure 2 look like "
1,"48b9jmgp","my second shape is symmetrical - it has four points at the top and is narrow at the bottom"
5,"48b9jmgp","figuger 4 looks like two birds"
3,"48b9jmgp","For me it is a scythe kind of shape "
7,"48b9jmgp","that is also my fig 2"
6,"48b9jmgp","for me my figure one sort of looks like an arrow, one side of it points out to the left"
4,"48b9jmgp","my is like that too "
