"id_in_session","session_code","body","body_lemma","network"
24,"fq1gn8j7","Should we call it shield then?","call shield","random"
20,"fq1gn8j7","cool should we call it antenae","cool call antenae","random"
4,"fq1gn8j7","my fig 2 has an arch shape on the left and right","fig arch shape leave right","random"
22,"fq1gn8j7","ok, that's my 1st figure","okay thats st figure","random"
5,"fq1gn8j7","yes. is it your figure one or two","yes figure one two","random"
20,"fq1gn8j7","antennae","antenna","random"
21,"fq1gn8j7","great! that seemed easier than I thot!","great seem easy thot","random"
7,"fq1gn8j7","yh that can work","yh can work","random"
24,"fq1gn8j7","What about the other one, it looks like antennae to me","one look like antenna","random"
23,"fq1gn8j7","want to call it antenna?","want call antenna","random"
24,"fq1gn8j7","like bug antennae","like bug antenna","random"
1,"fq1gn8j7","Yes","yes","random"
22,"fq1gn8j7","is it like a bug antennae, you 2nd?","like bug antenna nd","random"
20,"fq1gn8j7","and my fig 2 is like a shield","fig like shield","random"
23,"fq1gn8j7","great!","great","random"
5,"fq1gn8j7","yes. I can see that. ","yes can see","random"
4,"fq1gn8j7","its closest resembling a heart shape. yes","close resemble heart shape yes","random"
24,"fq1gn8j7","Should we call antennae?","call antenna","random"
5,"fq1gn8j7","okay","okay","random"
20,"fq1gn8j7","spiky shield","spiky shield","random"
24,"fq1gn8j7","Cheers","cheer","random"
5,"fq1gn8j7","what is the order of your figures","order figure","random"
24,"fq1gn8j7","Good luck then","good luck","random"
22,"fq1gn8j7","ok, got it, thanks!","okay get thank","random"
4,"fq1gn8j7","lets name fig 1 shield and fig 2 antennae?","let name fig shield fig antenna","random"
24,"fq1gn8j7","2-1 ","","random"
1,"fq1gn8j7","Hello","hello","random"
23,"fq1gn8j7","hi","hello","random"
24,"fq1gn8j7","Hi there!","hello","random"
7,"fq1gn8j7","hey","hey","random"
21,"fq1gn8j7","hiya","hiya","random"
2,"fq1gn8j7","hello","hello","random"
20,"fq1gn8j7","hi","hello","random"
23,"fq1gn8j7","my first figure looks like antennae","first figure look like antenna","random"
23,"fq1gn8j7","of a bug","bug","random"
24,"fq1gn8j7","Just checking","just check","random"
20,"fq1gn8j7","my fig 1 looks like a shield","fig look like shield","random"
18,"fq1gn8j7","Hi","hello","random"
7,"fq1gn8j7","my first is like a bug and my second is like a spiky shield","first like bug 2 like spiky shield","random"
24,"fq1gn8j7","May I start describing","may start describe","random"
4,"fq1gn8j7","hello! my fig 1 looks like it has 2 inward arching anttenae ","hello fig look like inward arch anttenae","random"
2,"fq1gn8j7","same as mine","mine","random"
22,"fq1gn8j7","Hello, my 1st fig. looks like bug antennae","hello st fig look like bug antenna","random"
7,"fq1gn8j7","yes","yes","random"
21,"fq1gn8j7","my fig1 looks like a spiky kind of shield","fig look like spiky kind shield","random"
4,"fq1gn8j7","antennae* ","antenna","random"
23,"fq1gn8j7","great! calling it antennae?","great call antenna","random"
24,"fq1gn8j7","alright,","alright","random"
2,"fq1gn8j7","yes! ","yes","random"
1,"fq1gn8j7","Does it have two spikes on the bottom?","two spike bottom","random"
24,"fq1gn8j7","I think I see a shield","think see shield","random"
24,"fq1gn8j7","it gets narrower at bottom right","get narrow bottom right","random"
5,"fq1gn8j7","Hello. My figure one has a top like antennaes. and the bottom is almost like a downwards arrow","hello figure one top like antennaes bottom almost like downwards arrow","random"
21,"fq1gn8j7","my fig2 looks like two round antennae","fig look like two round antenna","random"
23,"fq1gn8j7","the second one is  a bit like a shield","2 one bite like shield","random"
7,"fq1gn8j7","yes","yes","random"
4,"fq1gn8j7","on the left and right each facing outward? yes","leave right face outward yes","random"
24,"fq1gn8j7","perfect","perfect","random"
16,"fq1gn8j7","i think it looks like a maple leaf","think look like maple leaf","random"
21,"fq1gn8j7","how about yours?","","random"
2,"fq1gn8j7","Same here ! this is a perfct round","perfct round","random"
24,"fq1gn8j7","it is your 2nd","nd","random"
1,"fq1gn8j7","Yeah, thats my figure 1 as well","yes thats figure good","random"
14,"fq1gn8j7","thats nice thats my fig 2","thats nice thats fig","random"
4,"fq1gn8j7","okay ","okay","random"
24,"fq1gn8j7","my 1st","st","random"
23,"fq1gn8j7","haha yes !","haha yes","random"
2,"fq1gn8j7","lets name it Shield then","let name shield","random"
20,"fq1gn8j7","cool and just to be sure fig 2 is like antenae","cool just sure fig like antenae","random"
7,"fq1gn8j7","yes it is my second","yes 2","random"
24,"fq1gn8j7","I call it shield","call shield","random"
23,"fq1gn8j7","great!","great","random"
7,"fq1gn8j7","thats good","thats good","random"
24,"fq1gn8j7","The other one looks like antennae","one look like antenna","random"
5,"fq1gn8j7","okay. what should we name it. can we call it arrow","okay name can call arrow","random"
22,"fq1gn8j7","ok, that's your 1st fig? Like a big shield?","okay thats st fig like big shield","random"
1,"fq1gn8j7","Does your figure 2 look like a dragons head","figure look like dragon head","random"
7,"fq1gn8j7","yes","yes","random"
17,"fq1gn8j7","same here","","random"
4,"fq1gn8j7","yes","yes","random"
18,"fq1gn8j7","That's my figure 2. It looks like a shield ","thats figure look like shield","random"
7,"fq1gn8j7","we got one min","get one min","random"
14,"fq1gn8j7","horned snail or something","horn snail something","random"
24,"fq1gn8j7","Yeah I call it antennae then?","yes call antenna","random"
1,"fq1gn8j7","are you happy to call it that","happy call","random"
5,"fq1gn8j7","okay. horned snail","okay horn snail","random"
20,"fq1gn8j7","yeah should we call two antenae","yes call two antenae","random"
21,"fq1gn8j7","ok! so I can mark them down","okay can mark","random"
2,"fq1gn8j7","So figure 1 =Antennae and Figure 2= Shield.. Locked in?","figure antenna figure shield lock","random"
4,"fq1gn8j7","yes","yes","random"
16,"fq1gn8j7","yes first figure looks like a shield","yes first figure look like shield","random"
7,"fq1gn8j7","we can :)","can","random"
18,"fq1gn8j7","Should we call it shiel","call shiel","random"
1,"fq1gn8j7","perfect","perfect","random"
24,"fq1gn8j7","Perfect!!!","perfect","random"
17,"fq1gn8j7","yeah","yes","random"
23,"fq1gn8j7","exactly!","exactly","random"
20,"fq1gn8j7","yeah cool","yes cool","random"
5,"fq1gn8j7","figure 2 is spiky. the bottom is long","figure spiky bottom long","random"
14,"fq1gn8j7","what about your fig 2","fig","random"
24,"fq1gn8j7","that was quick","quick","random"
2,"fq1gn8j7","perfect!","perfect","random"
23,"fq1gn8j7","we are very early haha!","early haha","random"
21,"fq1gn8j7","that looks easy","look easy","random"
7,"fq1gn8j7","haha i miss time on my other one","haha miss time one","random"
22,"fq1gn8j7","and your 2nd? Like the antennae of a big?","nd like antenna big","random"
2,"fq1gn8j7","i know right.. feels unreal haha!","know right feel unreal haha","random"
22,"fq1gn8j7","*bug","bug","random"
5,"fq1gn8j7","it is like a spiky keyhole","like spiky keyhole","random"
17,"fq1gn8j7","what should we name them","name","random"
18,"fq1gn8j7","Ni, my 2 is shield and my 1 is antenna","ni shield antenna","random"
23,"fq1gn8j7","yes! haha","yes haha","random"
21,"fq1gn8j7","fig1 = shield, fig2 = antennae","fig shield fig antenna","random"
17,"fq1gn8j7","okay","okay","random"
14,"fq1gn8j7","true whats your name for it","true whats name","random"
5,"fq1gn8j7","spikes","spike","random"
4,"fq1gn8j7","hello","hello","random"
24,"fq1gn8j7","Hello","hello","random"
20,"fq1gn8j7","hi","hello","random"
21,"fq1gn8j7","hwody","hwody","random"
17,"fq1gn8j7","yeah","yes","random"
23,"fq1gn8j7","hi","hello","random"
3,"fq1gn8j7","hello","hello","random"
20,"fq1gn8j7","my fig 1 looks like a shield","fig look like shield","random"
15,"fq1gn8j7","hello","hello","random"
24,"fq1gn8j7","you're there","youre","random"
24,"fq1gn8j7","perfect","perfect","random"
22,"fq1gn8j7","hello","hello","random"
23,"fq1gn8j7","my fist fig is like antennae","fist fig like antenna","random"
23,"fq1gn8j7","of a bug","bug","random"
21,"fq1gn8j7","my fig1 looks like a shield with spikes","fig look like shield spike","random"
20,"fq1gn8j7","it has 4 spikes","spike","random"
24,"fq1gn8j7","alright, I have two figures","alright two figure","random"
4,"fq1gn8j7","are they rounded on top or very pointy ","round top pointy","random"
22,"fq1gn8j7","my fig.1 looks like a big shield","fig look like big shield","random"
20,"fq1gn8j7","on the top","top","random"
3,"fq1gn8j7","does it have spikey edges?","spikey edge","random"
24,"fq1gn8j7","one looks spiky","one look spiky","random"
23,"fq1gn8j7","very symmetrical ","symmetrical","random"
16,"fq1gn8j7","the 1st figure looks like an insect antennae","st figure look like insect antenna","random"
24,"fq1gn8j7","it looks like a shield I must say","look like shield must say","random"
21,"fq1gn8j7","my fig2 looks like a rounded pair of antennae","fig look like round pair antenna","random"
20,"fq1gn8j7","yea","yea","random"
15,"fq1gn8j7","yeah.. it's my figure one over here too","yes figure one","random"
5,"fq1gn8j7","that is also how mine looks","also mine look","random"
17,"fq1gn8j7","my fig 1 looks like a round antenna","fig look like round antenna","random"
3,"fq1gn8j7","with a long narrow end?","long narrow end","random"
24,"fq1gn8j7","gets narrower ","get narrow","random"
2,"fq1gn8j7","Hello!","hello","random"
5,"fq1gn8j7","should we name it insect","name insect","random"
13,"fq1gn8j7","hello","hello","random"
21,"fq1gn8j7","like a snails' antennae perhaps","like snail antenna perhaps","random"
20,"fq1gn8j7","and 2 looks like antenae","look like antenae","random"
22,"fq1gn8j7","yours?","","random"
24,"fq1gn8j7","Anteannae! Yeah I can see that","anteannae yes can see","random"
24,"fq1gn8j7","it is my figure 1 too","figure","random"
23,"fq1gn8j7","great! ","great","random"
2,"fq1gn8j7","The figure one looks like a shield","figure one look like shield","random"
16,"fq1gn8j7","the 2nd figure looks like a shield","nd figure look like shield","random"
17,"fq1gn8j7","my fig two looks like a shield","fig two look like shield","random"
16,"fq1gn8j7","yes","yes","random"
20,"fq1gn8j7","yeah fig 1 has spiky edges","yes fig spiky edge","random"
23,"fq1gn8j7","calling it antennae","call antenna","random"
2,"fq1gn8j7","what does your figure one look like?","figure one look like","random"
24,"fq1gn8j7","perfect","perfect","random"
21,"fq1gn8j7","how about yours?","","random"
23,"fq1gn8j7","and second is like a shield","2 like shield","random"
5,"fq1gn8j7","yes. same with mine. ","yes mine","random"
15,"fq1gn8j7","okay.","okay","random"
13,"fq1gn8j7","My figure 2 looks like a shield","figure look like shield","random"
4,"fq1gn8j7","okay ","okay","random"
5,"fq1gn8j7","shall we name it insect and shield?","shall name insect shield","random"
24,"fq1gn8j7","we call the first antennae and the 2nd shield then?","call first antenna nd shield","random"
3,"fq1gn8j7","same as mine then","mine","random"
15,"fq1gn8j7","mwith many pointed edges.. lol","mwith many point edge lol","random"
16,"fq1gn8j7","yes","yes","random"
23,"fq1gn8j7","exxactly haha","exxactly haha","random"
23,"fq1gn8j7","just to check","just check","random"
2,"fq1gn8j7","and what does your figure one look like?","figure one look like","random"
13,"fq1gn8j7","My figure 1 look like horns","figure look like horn","random"
20,"fq1gn8j7","cool im calling 1 shield and 2 antenae","cool im call shield antenae","random"
17,"fq1gn8j7","yes","yes","random"
15,"fq1gn8j7","let's call it a shield","let call shield","random"
4,"fq1gn8j7","sure","sure","random"
23,"fq1gn8j7","yep","yep","random"
13,"fq1gn8j7","or a downward arrow","downward arrow","random"
24,"fq1gn8j7","cheers","cheer","random"
15,"fq1gn8j7","cool.","cool","random"
3,"fq1gn8j7","okay","okay","random"
4,"fq1gn8j7","yes","yes","random"
15,"fq1gn8j7","hello","hello","random"
16,"fq1gn8j7","hi","hello","random"
23,"fq1gn8j7","hi","hello","random"
24,"fq1gn8j7","Hello","hello","random"
15,"fq1gn8j7","my fig one looks like an anetenne","fig one look like anetenne","random"
17,"fq1gn8j7","fig 1 looks like a shield fig 2 looks like an antenna","fig look like shield fig look like antenna","random"
16,"fq1gn8j7","The first image looks like a shield","first image look like shield","random"
24,"fq1gn8j7","You're there mate?","youre mate","random"
1,"fq1gn8j7","Hello","hello","random"
22,"fq1gn8j7","hello","hello","random"
3,"fq1gn8j7","hi ","hello","random"
15,"fq1gn8j7","also kinda looks like a nose plug too","also kinda look like nose plug","random"
21,"fq1gn8j7","howdy","howdy","random"
8,"fq1gn8j7","hi","hello","random"
20,"fq1gn8j7","hey my fig 1 looks like shield","hey fig look like shield","random"
7,"fq1gn8j7","hi my first is like a spiky sheild","hello first like spiky sheild","random"
13,"fq1gn8j7","hello","hello","random"
4,"fq1gn8j7","hello! please describe your figures!","hello please describe figure","random"
22,"fq1gn8j7","my fig.1 looks like a big shield","fig look like big shield","random"
1,"fq1gn8j7","My figure 1 looks like two antenna with curved spikes at the bottom","figure look like two antenna curve spike bottom","random"
20,"fq1gn8j7","and 2 looks like antennae","look like antenna","random"
21,"fq1gn8j7","my fig1 looks like a shield with spikes","fig look like shield spike","random"
23,"fq1gn8j7","great! antennae is my first fig and shield is second","great antenna first fig shield 2","random"
13,"fq1gn8j7","That is my figure 2","figure","random"
7,"fq1gn8j7","my second is like a bug with antennas ","2 like bug antenna","random"
15,"fq1gn8j7","seems like fig one over there is fig 2 over here","seem like fig one fig","random"
20,"fq1gn8j7","wbu","wbu","random"
23,"fq1gn8j7","I will write it down","will write","random"
24,"fq1gn8j7","Hi!","hello","random"
5,"fq1gn8j7","My figure 1 has a top like an insect's antenna","figure top like insect antenna","random"
1,"fq1gn8j7","Does your figure 1 look like a dragons head","figure look like dragon head","random"
8,"fq1gn8j7","my figure one has 9 points","figure one point","random"
4,"fq1gn8j7","my figure one is rounded at the top and my figure 2 is pointed","figure one round top figure point","random"
9,"fq1gn8j7","my one looks kinda like a sheild","one look kinda like sheild","random"
16,"fq1gn8j7","yes","yes","random"
21,"fq1gn8j7","my fig2 like a pair of rounded antennae","fig like pair round antenna","random"
22,"fq1gn8j7","and your fig.1 is like a big antennae?","fig like big antenna","random"
20,"fq1gn8j7","is it spiky?","spiky","random"
22,"fq1gn8j7","*bug","bug","random"
21,"fq1gn8j7","like the antennae of a snail","like antenna snail","random"
6,"fq1gn8j7","my figure 1 looks like a tie from the bottom","figure look like tie bottom","random"
8,"fq1gn8j7","my figure two only has two points","figure two two point","random"
21,"fq1gn8j7","how about yours","","random"
9,"fq1gn8j7","oon the bottom sides","oon bottom side","random"
3,"fq1gn8j7","my fig 1 has two spikes at the top with a narrow end ","fig two spike top narrow end","random"
15,"fq1gn8j7","what should we call fig one?","call fig one","random"
7,"fq1gn8j7","shield*","shield","random"
17,"fq1gn8j7","okay","okay","random"
7,"fq1gn8j7","hey?","hey","random"
15,"fq1gn8j7","nose plug?","nose plug","random"
8,"fq1gn8j7","yes same for me","yes","random"
9,"fq1gn8j7","with two curving round things","two curve round thing","random"
13,"fq1gn8j7","hard to say :) I would say a shield","hard say say shield","random"
6,"fq1gn8j7","and pointy 4 corners on top","pointy corner top","random"
24,"fq1gn8j7","Hello","hello","random"
15,"fq1gn8j7","that will be your fig 2","will fig","random"
13,"fq1gn8j7","with spiky edges?","spiky edge","random"
21,"fq1gn8j7","ok its like a shield","okay like shield","random"
20,"fq1gn8j7","and the other one?","one","random"
1,"fq1gn8j7","Yes","yes","random"
22,"fq1gn8j7","yes, sound good!","yes sound good","random"
16,"fq1gn8j7","insect antennae.. on my figure 2","insect antenna figure","random"
3,"fq1gn8j7","my fig 2 looks like a snails long eyes ","fig look like snail long eye","random"
1,"fq1gn8j7","We can call it a shield","can call shield","random"
13,"fq1gn8j7","yes then","yes","random"
21,"fq1gn8j7","at lest to me haha","lest haha","random"
7,"fq1gn8j7","did u disappear?","u disappear","random"
9,"fq1gn8j7","figure two is spikey with and elongated bottom","figure two spikey elongate bottom","random"
13,"fq1gn8j7","as you prefer","prefer","random"
20,"fq1gn8j7","ahh ok","ahh okay","random"
6,"fq1gn8j7","i guess so","guess","random"
9,"fq1gn8j7","wider at the top than the bottom","wide top bottom","random"
20,"fq1gn8j7","my 1 is your 2","","random"
15,"fq1gn8j7","okay. let's call it insect antennae","okay let call insect antenna","random"
4,"fq1gn8j7","hello?","hello","random"
16,"fq1gn8j7","or what do you think? nose plug?","think nose plug","random"
8,"fq1gn8j7","yes mine too so we have the same order","yes mine order","random"
20,"fq1gn8j7","i think","think","random"
3,"fq1gn8j7","nearly touching both sides","nearly touch side","random"
16,"fq1gn8j7","okay","okay","random"
9,"fq1gn8j7","okay","okay","random"
6,"fq1gn8j7","figure 2 looks like two worms??","figure look like two worm","random"
8,"fq1gn8j7","yup","yup","random"
9,"fq1gn8j7","ill trust your judgement","ill trust judgement","random"
7,"fq1gn8j7","i think you did...","think","random"
20,"fq1gn8j7","i am calling my 1 shield and 2 antennae","call shield antenna","random"
7,"fq1gn8j7",":(","","random"
3,"fq1gn8j7","ill call it spike and snail eyes ","ill call spike snail eye","random"
21,"fq1gn8j7","yea, with antennae","yea antenna","random"
6,"fq1gn8j7","so we have the same figure one?","figure one","random"
9,"fq1gn8j7","sounds good","sound good","random"
20,"fq1gn8j7","cool. cheers mate","cool cheer mate","random"
21,"fq1gn8j7","ok I will not down 1=shield, 2 = antennae","okay will shield antenna","random"
14,"fq1gn8j7","my fig looks like a demons head","fig look like demon head","random"
1,"fq1gn8j7","Hello","hello","random"
1,"fq1gn8j7","With spiky edges?","spiky edge","random"
8,"fq1gn8j7","hi","hello","random"
15,"fq1gn8j7","hello","hello","random"
2,"fq1gn8j7","hello","hello","random"
9,"fq1gn8j7","my figure one looks like fallopian tubes","figure one look like fallopian tube","random"
15,"fq1gn8j7","yeah.. my figure one is rounded on top too","yes figure one round top","random"
18,"fq1gn8j7","figure 1","figure","random"
8,"fq1gn8j7","my figure one only has 2 points ","figure one point","random"
15,"fq1gn8j7","looks like a nose plug","look like nose plug","random"
2,"fq1gn8j7","are you there?","","random"
9,"fq1gn8j7","figure two looks like a club with spikes at the top and an elongated bottom","figure two look like club spike top elongate bottom","random"
8,"fq1gn8j7","my figure two has 9 points","figure two point","random"
15,"fq1gn8j7","let's call it nose plug?","let call nose plug","random"
1,"fq1gn8j7","the spiky shield is figure 2 ","spiky shield figure","random"
18,"fq1gn8j7","thats my figure 2","thats figure","random"
1,"fq1gn8j7","The antenna is figure 1 for me too","antenna figure","random"
15,"fq1gn8j7","then let's call fig 2 a shield","let call fig shield","random"
2,"fq1gn8j7","figure 1 looks like a bugs antenna for me ","figure look like bug antenna","random"
9,"fq1gn8j7","name thoughts","name thought","random"
15,"fq1gn8j7","yep","yep","random"
1,"fq1gn8j7","Sounds good","sound good","random"
8,"fq1gn8j7","my figure one looks kind of like snail eyes","figure one look kind like snail eye","random"
18,"fq1gn8j7","snail","snail","random"
2,"fq1gn8j7","and figure 2 looks like a leaf ","figure look like leaf","random"
9,"fq1gn8j7","for 1","","random"
9,"fq1gn8j7","and for two clubÉ","two clubé","random"
8,"fq1gn8j7","and my figure is wide at the top and narrow at the bottem","figure wide top narrow bottem","random"
9,"fq1gn8j7","without the e","without e","random"
8,"fq1gn8j7","hello","hello","random"
8,"fq1gn8j7","hello","hello","random"
18,"fq1gn8j7","hello","hello","random"
15,"fq1gn8j7","hi","hello","random"
3,"fq1gn8j7","hi","hello","random"
7,"fq1gn8j7","hey ","hey","random"
2,"fq1gn8j7","Hello!","hello","random"
6,"fq1gn8j7","hi!","hello","random"
13,"fq1gn8j7","hey","hey","random"
15,"fq1gn8j7","my fig one looks like a shield","fig one look like shield","random"
7,"fq1gn8j7","my figure twois  a spiky shield","figure twois spiky shield","random"
14,"fq1gn8j7","my fig 1 has obtused hornes ","fig obtused hornes","random"
15,"fq1gn8j7","with many pointed edges","many point edge","random"
18,"fq1gn8j7","figure 1 looks like head of bee","figure look like head bee","random"
9,"fq1gn8j7","figure 1 looks like fallopian tubes","figure look like fallopian tube","random"
2,"fq1gn8j7","my fig 1 looks like an insect antenna ","fig look like insect antenna","random"
8,"fq1gn8j7","my figure one has 9 points and is wide at the top and narrow at the bottom","figure one point wide top narrow bottom","random"
6,"fq1gn8j7","my figure 1 looks like antennas","figure look like antenna","random"
7,"fq1gn8j7","my figure one is like antennas","figure one like antenna","random"
13,"fq1gn8j7","that is my figure 1","figure","random"
17,"fq1gn8j7","fig 1 looks like a shield fig 2 antenna","fig look like shield fig antenna","random"
9,"fq1gn8j7","figure 2 looks like a club","figure look like club","random"
6,"fq1gn8j7","yes same!","yes","random"
14,"fq1gn8j7","thats my fig 2","thats fig","random"
7,"fq1gn8j7","my two?","two","random"
18,"fq1gn8j7","that is my figure 2 ","figure","random"
13,"fq1gn8j7","my figure 1 is a spiky shield","figure spiky shield","random"
2,"fq1gn8j7","and fig 2 looks like a dead leaf","fig look like dead leaf","random"
13,"fq1gn8j7","my figure 2 is an antenna","figure antenna","random"
8,"fq1gn8j7","ok great ","okay great","random"
3,"fq1gn8j7","my figure 1 has 9 pointed edges, wide at the top narrow at the bottom","figure point edge wide top narrow bottom","random"
15,"fq1gn8j7","is that your fig 1?","fig","random"
6,"fq1gn8j7","and figure 2 isa tie from the bottom with 4 points","figure isa tie bottom point","random"
14,"fq1gn8j7","thats my fig 2","thats fig","random"
15,"fq1gn8j7","cool","cool","random"
7,"fq1gn8j7","cool should we name ur 1 shield ","cool name ur shield","random"
6,"fq1gn8j7","yeah i get what you mean by dead leaf","yes get mean dead leaf","random"
9,"fq1gn8j7","can you describe more the sheild","can describe sheild","random"
15,"fq1gn8j7","let's call it a shield","let call shield","random"
14,"fq1gn8j7","whats the names","whats name","random"
2,"fq1gn8j7","ah i see that - the tie","ah see tie","random"
7,"fq1gn8j7","and ur second antenna","ur 2 antenna","random"
13,"fq1gn8j7","yes","yes","random"
13,"fq1gn8j7","perfect","perfect","random"
3,"fq1gn8j7","yup","yup","random"
6,"fq1gn8j7","so we have the same?","","random"
2,"fq1gn8j7"," ok so figure 1 antenna ","okay figure antenna","random"
15,"fq1gn8j7","what about your fig 2?","fig","random"
2,"fq1gn8j7","and figure 2 tie?","figure tie","random"
7,"fq1gn8j7","fab","fab","random"
6,"fq1gn8j7","yes sure!","yes sure","random"
7,"fq1gn8j7","all done :)","do","random"
3,"fq1gn8j7","fig 2 looks like snail eyes nearly touching in the middle","fig look like snail eye nearly touch middle","random"
15,"fq1gn8j7","looks like an insect antennae right?","look like insect antenna right","random"
2,"fq1gn8j7","perfect!","perfect","random"
13,"fq1gn8j7","have a good day :)","good day","random"
14,"fq1gn8j7","yeah, horned snails right","yes horn snail right","random"
9,"fq1gn8j7","my figure 1 is your 2","figure","random"
7,"fq1gn8j7","you too","","random"
3,"fq1gn8j7","yes","yes","random"
15,"fq1gn8j7","let's call it an antennae?","let call antenna","random"
14,"fq1gn8j7","okay shield and antena works for me","okay shield antena work","random"
3,"fq1gn8j7","yes","yes","random"
15,"fq1gn8j7","cool","cool","random"
9,"fq1gn8j7","hello","hello","random"
3,"fq1gn8j7","hi","hello","random"
13,"fq1gn8j7","hi","hello","random"
6,"fq1gn8j7","hi","hello","random"
9,"fq1gn8j7","figure 1 look like antenna","figure look like antenna","random"
9,"fq1gn8j7","figure 2 a sheild","figure sheild","random"
6,"fq1gn8j7","my first one looks like an antenna","first one look like antenna","random"
6,"fq1gn8j7","yes","yes","random"
3,"fq1gn8j7","fig 1 has 9 sharp edges wide at the top narrow at the bottom","fig sharp edge wide top narrow bottom","random"
16,"fq1gn8j7","hi there","hello","random"
6,"fq1gn8j7","exact same ","exact","random"
8,"fq1gn8j7","my figure is the more pointy one","figure pointy one","random"
9,"fq1gn8j7","perfect","perfect","random"
8,"fq1gn8j7","figure one","figure one","random"
9,"fq1gn8j7","namesÉ","namesé","random"
13,"fq1gn8j7","my figure 1 looks like a spiky shield","figure look like spiky shield","random"
14,"fq1gn8j7","my has spikes like a demon skeleton or a spike shilled","spike like demon skeleton spike shilled","random"
16,"fq1gn8j7","i think figure 1 looks like a shield","think figure look like shield","random"
8,"fq1gn8j7","and figure two is the one with only 2 points","figure two one point","random"
8,"fq1gn8j7","hello","hello","random"
3,"fq1gn8j7","id say spiked shield ","id say spike shield","random"
13,"fq1gn8j7","nice","nice","random"
14,"fq1gn8j7","yeah were corresponding already whats your name for it","yes correspond already whats name","random"
9,"fq1gn8j7","maybe bug for 1 and protect for 2","maybe bug protect","random"
13,"fq1gn8j7","my figure 2 look like antennas","figure look like antenna","random"
16,"fq1gn8j7","yes","yes","random"
3,"fq1gn8j7","spiky shield","spiky shield","random"
13,"fq1gn8j7","shall we name them shield and antennas?","shall name shield antenna","random"
3,"fq1gn8j7","fig 2 looks like ant eyes ","fig look like ant eye","random"
3,"fq1gn8j7","snail eyes rather","snail eye rather","random"
9,"fq1gn8j7","hello","hello","random"
16,"fq1gn8j7","yes","yes","random"
6,"fq1gn8j7","ok","okay","random"
14,"fq1gn8j7","true the ants were sketpical","true ant sketpical","random"
6,"fq1gn8j7","sure","sure","random"
6,"fq1gn8j7","hello","hello","random"
6,"fq1gn8j7","my figure 1 is an antenna","figure antenna","random"
6,"fq1gn8j7","and figure 2 is like a shield?","figure like shield","random"
6,"fq1gn8j7","hello?","hello","random"
21,"pqesetud","hi","hello","random"
24,"pqesetud","Hello !!","hello","random"
22,"pqesetud","hi ","hello","random"
21,"pqesetud","my first fig is like antennae","first fig like antenna","random"
20,"pqesetud","hi","hello","random"
21,"pqesetud","of a bug","bug","random"
